county,county_fips,state,county_population,health_service_area_number,health_service_area,health_service_area_population,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid-19_community_level,date_updated
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,3.1,16.6,151.02,Medium,2022-12-01
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,3.8,11.8,92.47,Medium,2022-12-01
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,6.3,17.1,154.17,Medium,2022-12-01
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.5,17.7,75.34,Medium,2022-12-01
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,3.8,11.8,120.65,Medium,2022-12-01
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.5,17.7,105.54,Medium,2022-12-01
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.5,17.7,122.42,Medium,2022-12-01
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,6.3,17.1,152.84,Medium,2022-12-01
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,5.0,12.9,123.43,Medium,2022-12-01
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,3.9,18.8,167.25,Medium,2022-12-08
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,6.1,14.3,224.63,High,2022-12-08
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.0,16.9,133.73,Medium,2022-12-08
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,6.1,14.3,234.39,High,2022-12-08
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,4.3,13.6,178.92,Medium,2022-12-08
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,3.9,18.8,151.02,Medium,2022-12-08
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,3.6,10.9,116.59,Medium,2022-12-08
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,6.3,17.9,193.44,Medium,2022-12-08
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.0,16.9,104.19,Medium,2022-12-08
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,3.6,10.9,139.64,Medium,2022-12-08
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.0,16.9,152.24,Medium,2022-12-08
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.0,16.9,153.61,Medium,2022-12-08
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,6.3,17.9,179.52,Medium,2022-12-08
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,6.1,14.2,155.05,Medium,2022-12-08
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,5.3,17.4,152.48,Medium,2022-12-08
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,6.1,14.2,188.12,Medium,2022-12-08
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,5.4,10.9,151.05,Medium,2022-12-08
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,6.1,14.2,185.93,Medium,2022-12-08
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,6.1,14.3,219.20,High,2022-12-08
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,4.3,13.6,163.72,Medium,2022-12-08
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,6.1,14.2,184.96,Medium,2022-12-08
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,4.8,16.9,164.22,Medium,2022-12-15
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,6.1,12.8,237.18,High,2022-12-15
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.2,18.0,126.53,Medium,2022-12-15
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,6.1,12.8,214.01,High,2022-12-15
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,4.4,16.1,190.91,Medium,2022-12-15
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,9.1,20.7,141.11,High,2022-12-15
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,6.4,12.5,226.42,High,2022-12-15
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,6.0,13.9,177.72,Medium,2022-12-15
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,6.4,12.5,206.89,High,2022-12-15
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,6.1,12.8,252.28,High,2022-12-15
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,4.4,16.1,174.39,Medium,2022-12-15
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,6.4,12.5,206.89,High,2022-12-15
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,4.8,16.9,144.50,Medium,2022-12-15
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,3.9,11.3,194.58,Medium,2022-12-15
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,6.5,14.3,211.86,High,2022-12-15
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.2,18.0,94.57,Medium,2022-12-15
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,3.9,11.3,215.64,High,2022-12-15
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.2,18.0,159.87,Medium,2022-12-15
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.2,18.0,150.65,Medium,2022-12-15
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,6.5,14.3,189.23,Medium,2022-12-15
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,6.4,12.5,206.73,High,2022-12-15
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,8.5,20.1,136.43,High,2022-12-22
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,6.7,16.7,224.04,High,2022-12-22
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,7.4,13.3,194.59,Medium,2022-12-22
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,6.7,16.7,211.26,High,2022-12-22
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,6.8,14.6,250.49,High,2022-12-22
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,5.6,19.1,175.82,Medium,2022-12-22
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,6.7,16.7,216.59,High,2022-12-22
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.7,20.3,180.53,High,2022-12-22
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.7,20.3,162.30,High,2022-12-22
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,7.5,19.7,216.74,High,2022-12-22
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,6.7,16.7,196.39,Medium,2022-12-22
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,5.2,23.1,188.87,High,2022-12-22
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,6.8,14.6,268.18,High,2022-12-22
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.7,20.3,154.64,High,2022-12-22
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,6.8,14.6,227.25,High,2022-12-22
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,5.6,19.1,209.01,High,2022-12-22
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,5.2,23.1,204.26,High,2022-12-22
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,6.3,12.6,205.03,High,2022-12-22
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,7.5,19.7,226.89,High,2022-12-22
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.7,20.3,160.29,High,2022-12-22
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,6.3,12.6,208.99,High,2022-12-22
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,5.0,18.3,172.56,Medium,2022-12-29
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,6.8,14.7,251.13,High,2022-12-29
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,6.2,22.2,126.18,High,2022-12-29
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,6.8,14.7,217.28,High,2022-12-29
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,6.7,18.8,190.10,Medium,2022-12-29
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,8.3,21.4,140.44,High,2022-12-29
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,6.6,15.7,199.76,Medium,2022-12-29
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,7.0,12.0,200.58,High,2022-12-29
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,6.6,15.7,210.77,High,2022-12-29
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,6.8,14.7,240.72,High,2022-12-29
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,6.7,18.8,186.49,Medium,2022-12-29
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,6.6,15.7,206.53,High,2022-12-29
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,5.0,18.3,246.63,High,2022-12-29
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,5.2,17.9,200.21,High,2022-12-29
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,7.0,14.3,222.53,High,2022-12-29
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,6.2,22.2,126.63,High,2022-12-29
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,5.2,17.9,157.69,Medium,2022-12-29
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,6.2,22.2,176.94,High,2022-12-29
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,6.2,22.2,159.34,High,2022-12-29
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,7.0,14.3,225.80,High,2022-12-29
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,6.6,15.7,197.91,Medium,2022-12-29
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,8.4,20.7,187.26,High,2023-01-05
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,6.9,16.5,230.67,High,2023-01-05
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,8.8,14.7,233.79,High,2023-01-05
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,6.9,16.5,238.89,High,2023-01-05
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,7.1,15.2,275.19,High,2023-01-05
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,7.8,25.1,264.79,High,2023-01-05
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,6.9,16.5,226.48,High,2023-01-05
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,6.6,25.9,214.21,High,2023-01-05
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,6.6,25.9,210.08,High,2023-01-05
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,7.7,16.0,262.19,High,2023-01-05
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,6.9,16.5,253.24,High,2023-01-05
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,7.2,31.2,232.49,High,2023-01-05
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,7.1,15.2,288.67,High,2023-01-05
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,6.6,25.9,151.56,High,2023-01-05
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,7.1,15.2,226.21,High,2023-01-05
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,7.8,25.1,250.49,High,2023-01-05
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,7.2,31.2,256.41,High,2023-01-05
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,8.9,24.8,245.23,High,2023-01-05
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,7.7,16.0,247.74,High,2023-01-05
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,6.6,25.9,125.03,High,2023-01-05
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,8.9,24.8,263.14,High,2023-01-05
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,8.5,29.8,224.52,High,2023-01-12
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,7.7,16.2,262.93,High,2023-01-12
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,7.5,25.6,165.96,High,2023-01-12
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,7.7,16.2,238.70,High,2023-01-12
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,7.2,18.5,201.28,High,2023-01-12
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,7.5,25.6,196.03,High,2023-01-12
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,7.5,25.6,205.93,High,2023-01-12
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,9.8,22.8,218.71,High,2023-01-12
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,7.5,14.9,210.07,High,2023-01-12
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,8.5,29.8,204.26,High,2023-01-12
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,9.1,18.3,161.61,Medium,2023-01-12
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,9.8,22.8,222.69,High,2023-01-12
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,7.5,25.6,144.27,High,2023-01-12
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,9.1,18.3,165.29,Medium,2023-01-12
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,9.7,29.4,270.85,High,2023-01-12
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,7.5,14.9,223.66,High,2023-01-12
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,8.8,14.2,237.32,High,2023-01-12
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,7.5,14.9,249.56,High,2023-01-12
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,7.7,16.2,254.67,High,2023-01-12
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,7.2,18.5,226.35,High,2023-01-12
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,7.5,14.9,241.58,High,2023-01-12
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,8.8,22.7,242.77,High,2023-01-19
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,6.5,14.3,180.61,Medium,2023-01-19
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,9.5,17.4,191.06,Medium,2023-01-19
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,6.5,14.3,173.08,Medium,2023-01-19
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,6.8,13.5,195.69,Medium,2023-01-19
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,5.7,16.9,162.29,Medium,2023-01-19
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,6.5,14.3,180.82,Medium,2023-01-19
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,7.1,24.5,174.93,High,2023-01-19
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,6.9,17.0,148.75,Medium,2023-01-19
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,9.0,17.9,180.19,Medium,2023-01-19
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,6.9,22.4,134.65,High,2023-01-19
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,6.9,17.0,151.04,Medium,2023-01-19
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,7.1,24.5,207.46,High,2023-01-19
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,6.8,13.5,185.90,Medium,2023-01-19
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,6.9,22.4,137.84,High,2023-01-19
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,6.8,13.5,180.70,Medium,2023-01-19
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,5.7,16.9,171.80,Medium,2023-01-19
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,6.9,22.4,149.99,High,2023-01-19
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,6.9,22.4,150.65,High,2023-01-19
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,9.0,17.9,165.19,Medium,2023-01-19
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,6.5,14.3,178.76,Medium,2023-01-19
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,0.7,4.2,23.13,Low,2023-05-04
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,1.0,1.9,28.32,Low,2023-05-04
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,0.7,2.1,7.89,Low,2023-05-04
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,1.0,1.9,27.51,Low,2023-05-04
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,0.9,2.8,17.28,Low,2023-05-04
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,0.7,4.2,13.04,Low,2023-05-04
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,1.2,1.3,12.06,Low,2023-05-04
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,1.5,2.1,19.39,Low,2023-05-04
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,0.7,2.1,4.81,Low,2023-05-04
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,1.2,1.3,12.35,Low,2023-05-04
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,0.7,2.1,10.78,Low,2023-05-04
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,0.7,2.1,9.87,Low,2023-05-04
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,1.5,2.1,18.78,Low,2023-05-04
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,0.7,1.1,18.85,Low,2023-05-04
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,1.8,2.0,6.69,Low,2023-05-04
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,0.7,1.1,21.15,Low,2023-05-04
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,0.5,0.8,17.96,Low,2023-05-04
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,0.7,1.1,16.48,Low,2023-05-04
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,1.0,1.9,15.94,Low,2023-05-04
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,0.9,2.8,12.10,Low,2023-05-04
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,0.7,1.1,15.10,Low,2023-05-04
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,5.9,21.4,173.32,High,2023-01-26
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,6.2,13.7,174.00,Medium,2023-01-26
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,6.5,18.3,128.93,Medium,2023-01-26
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,6.2,13.7,150.21,Medium,2023-01-26
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,4.8,13.1,127.48,Medium,2023-01-26
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,10.0,26.1,296.27,High,2023-01-26
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,6.0,13.2,163.08,Medium,2023-01-26
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,7.2,11.2,176.63,Medium,2023-01-26
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,6.0,13.2,151.62,Medium,2023-01-26
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,6.2,13.7,191.50,Medium,2023-01-26
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,4.8,13.1,149.48,Medium,2023-01-26
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,6.0,13.2,166.98,Medium,2023-01-26
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,5.9,21.4,239.03,High,2023-01-26
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,5.1,15.2,114.17,Medium,2023-01-26
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,8.5,18.5,163.38,Medium,2023-01-26
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,6.5,18.3,206.78,High,2023-01-26
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,5.1,15.2,144.39,Medium,2023-01-26
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,6.5,18.3,152.46,Medium,2023-01-26
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,6.5,18.3,157.36,Medium,2023-01-26
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,8.5,18.5,154.32,Medium,2023-01-26
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,6.0,13.2,138.33,Medium,2023-01-26
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,4.4,19.4,169.91,Medium,2023-02-02
